strike,optionType,expirationDate,volume,openInterest,date_traded,time_traded
67.5,C,2025-09-19,2547.0,3024,2025-08-13,11:34:09
67.5,C,2025-08-15,2361.0,6824,2025-08-13,11:34:09
64.0,P,2025-08-15,2010.0,4342,2025-08-11,06:36:51
71.0,C,2025-08-15,1793.0,3480,2025-08-13,12:59:12
71.0,C,2025-08-22,1336.0,1322,2025-08-13,12:59:37
70.0,C,2025-08-15,1163.0,12512,2025-08-13,12:57:43
75.0,C,2025-09-05,1159.0,1524,2025-08-13,08:12:25
70.0,P,2025-08-15,880.0,8519,2025-08-13,12:59:42
65.0,P,2025-10-17,562.0,2618,2025-08-13,10:23:15
70.0,P,2025-09-19,550.0,11367,2025-08-13,12:54:31
67.5,P,2026-06-18,512.0,1924,2025-08-13,07:39:30
80.0,C,2026-03-20,510.0,3306,2025-08-13,12:17:48
72.5,C,2025-08-15,453.0,13199,2025-08-13,12:57:29
71.0,P,2025-08-15,451.0,399,2025-08-13,12:57:00
70.0,P,2025-11-21,446.0,1880,2025-08-13,11:34:51
72.5,C,2025-09-19,438.0,23301,2025-08-13,12:49:00
70.0,C,2025-09-19,393.0,6998,2025-08-13,12:45:43
72.0,C,2025-08-15,369.0,3821,2025-08-13,12:46:19
72.5,C,2025-11-21,334.0,6571,2025-08-13,11:59:17
75.0,C,2025-09-19,324.0,21892,2025-08-13,11:58:45
73.0,C,2025-09-26,315.0,29,2025-08-13,12:40:56
70.0,C,2026-03-20,303.0,1941,2025-08-13,12:52:16
67.0,P,2025-08-15,302.0,1186,2025-08-13,12:36:59
67.5,P,2025-09-19,264.0,8324,2025-08-13,12:53:15
72.5,C,2025-10-17,231.0,5253,2025-08-13,12:09:34
67.5,P,2025-10-17,220.0,4392,2025-08-13,10:39:00
69.0,P,2025-08-15,213.0,3660,2025-08-13,12:57:48
70.0,P,2025-09-05,209.0,352,2025-08-13,12:09:13
70.0,P,2025-08-22,189.0,389,2025-08-13,12:59:57
72.0,C,2025-08-22,179.0,1163,2025-08-13,12:57:00
69.0,C,2025-08-15,179.0,2163,2025-08-13,12:37:48
70.0,C,2025-08-29,177.0,4007,2025-08-13,10:55:57
75.0,C,2026-01-16,172.0,15363,2025-08-13,12:04:15
70.0,C,2025-08-22,165.0,1225,2025-08-13,12:58:55
72.0,C,2025-09-05,164.0,10378,2025-08-13,12:35:05
68.0,P,2025-08-15,154.0,1859,2025-08-13,12:59:13
72.0,C,2025-08-29,154.0,3482,2025-08-13,12:52:24
66.0,P,2025-08-15,132.0,2476,2025-08-13,12:38:14
70.0,C,2025-10-17,129.0,5251,2025-08-13,11:46:47
70.0,P,2025-10-17,117.0,2469,2025-08-13,12:29:16
65.0,P,2025-08-15,112.0,11269,2025-08-13,12:36:12
80.0,C,2025-09-12,100.0,150,2025-08-11,06:30:07
71.0,C,2025-09-05,98.0,766,2025-08-13,11:31:51
71.0,P,2025-09-05,97.0,111,2025-08-12,10:52:48
65.0,P,2026-01-16,96.0,14341,2025-08-13,11:34:37
73.0,C,2025-08-15,94.0,13299,2025-08-13,11:30:14
77.5,C,2025-09-19,94.0,7232,2025-08-12,12:54:27
67.5,P,2025-11-21,93.0,4432,2025-08-13,11:57:01
69.0,C,2025-08-22,88.0,573,2025-08-13,12:54:08
69.0,P,2025-08-22,86.0,508,2025-08-13,12:53:13
71.0,C,2025-08-29,86.0,919,2025-08-13,12:17:58
67.0,P,2025-08-22,83.0,383,2025-08-13,12:33:15
63.0,P,2025-08-15,76.0,4261,2025-08-12,09:19:56
77.5,C,2026-03-20,71.0,1195,2025-08-13,10:17:30
72.5,P,2026-09-18,70.0,215,2025-08-11,12:16:49
77.5,C,2026-02-20,70.0,723,2025-08-13,12:21:55
70.0,C,2025-11-21,69.0,2908,2025-08-13,12:41:49
75.0,P,2026-06-18,63.0,608,2025-07-18,07:37:09
70.0,P,2025-08-29,62.0,382,2025-08-13,10:56:38
68.0,P,2025-08-22,60.0,353,2025-08-13,12:24:17
70.0,P,2025-09-12,59.0,258,2025-08-13,12:10:10
70.0,C,2026-06-18,55.0,3496,2025-08-13,12:04:06
71.0,P,2025-08-22,53.0,281,2025-08-13,12:21:34
70.0,C,2026-01-16,53.0,5701,2025-08-13,12:19:46
75.0,C,2025-09-12,52.0,98,2025-08-12,07:24:26
68.0,P,2025-08-29,52.0,518,2025-08-13,12:33:27
62.5,P,2026-09-18,51.0,193,2025-08-13,09:40:47
75.0,C,2025-10-17,51.0,3525,2025-08-13,12:46:41
77.5,C,2025-10-17,51.0,2579,2025-08-13,12:30:49
77.5,P,2026-06-18,50.0,92,2025-08-12,09:40:52
65.0,P,2025-11-21,50.0,16335,2025-08-13,12:54:43
72.0,C,2025-09-26,49.0,33,2025-08-13,12:52:05
60.0,P,2025-08-22,46.0,38,2025-08-12,09:20:52
68.0,P,2025-09-05,45.0,558,2025-08-13,11:16:08
60.0,P,2025-08-29,45.0,55,2025-08-08,12:36:40
73.0,C,2025-09-05,43.0,595,2025-08-13,07:40:39
63.0,P,2025-08-29,40.0,573,2025-08-13,09:17:34
67.5,P,2026-01-16,39.0,8542,2025-08-13,12:58:11
72.0,C,2025-09-12,39.0,368,2025-08-13,11:58:32
75.0,C,2025-08-15,39.0,17127,2025-08-13,12:35:05
67.0,P,2025-09-05,39.0,251,2025-08-13,07:40:39
69.0,P,2025-08-29,38.0,480,2025-08-13,12:16:28
70.0,P,2026-06-18,38.0,2343,2025-08-13,12:32:15
76.0,C,2025-08-15,37.0,103,2025-08-13,11:12:44
77.5,C,2025-08-15,37.0,6714,2025-08-12,10:31:03
72.5,C,2026-06-18,36.0,1710,2025-08-13,09:18:09
67.0,P,2025-08-29,35.0,1302,2025-08-13,12:47:04
72.0,P,2025-08-15,34.0,73,2025-08-13,10:31:44
70.0,C,2025-09-12,32.0,189,2025-08-13,11:02:17
62.5,P,2025-08-15,32.0,2677,2025-08-13,11:50:59
